"CAGDP2 Gross domestic product (GDP) by county and metropolitan area 1/"
"Gross Domestic Product (GDP): All industry total (Thousands of dollars)" 
"Bureau of Economic Analysis" 
"County"
"13295","Walker, GA",1327326,1387784,1477483
"13297","Walton, GA",1784739,2147707,2526839
"13299","Ware, GA",1207038,1319160,1396668
"13301","Warren, GA",142625,171446,183435
"13303","Washington, GA",594118,626135,643622
"13305","Wayne, GA",850512,754092,785608
"13307","Webster, GA",64788,63173,74028
"13309","Wheeler, GA",130618,129222,132451
"13311","White, GA",597773,653675,705343
"13313","Whitfield, GA",4844787,5566713,5967360
"13315","Wilcox, GA",170109,144091,161355
"13317","Wilkes, GA",286038,305462,317566
"13319","Wilkinson, GA",447833,417315,449549
"13321","Worth, GA",376283,343299,368284
"15001","Hawaii, HI",6922500,7729714,8684784
"15003","Honolulu, HI",55365812,61692511,66255462
"15007","Kauai, HI",3182871,3896982,4267229
"15901","Maui + Kalawao, HI*",8111540,9390789,10221377
"16001","Ada, ID",19041517,22613209,25645331
"16003","Adams, ID",103551,126675,131433
"16005","Bannock, ID",2517445,2728551,2951510
"16007","Bear Lake, ID",162732,174346,179898
"16009","Benewah, ID",298804,314546,334552
"16011","Bingham, ID",1307448,1297961,1389308
"16013","Blaine, ID",1141260,1358659,1513159
"16015","Boise, ID",146701,145390,189963
"16017","Bonner, ID",1201235,1296912,1432561
"16019","Bonneville, ID",3853793,4556120,5115051
"16021","Boundary, ID",321353,356434,368021
"16023","Butte, ID",933510,930561,998429
"16025","Camas, ID",55832,60869,56426
"16027","Canyon, ID",4354718,4971968,5670132
"16029","Caribou, ID",535602,448622,438584
"16031","Cassia, ID",1145264,1361870,1396024
"16033","Clark, ID",42408,39827,44586
"16035","Clearwater, ID",355290,365199,356589
"16037","Custer, ID",268118,167414,149155
"16039","Elmore, ID",964551,1104024,1183274
"16041","Franklin, ID",283386,330447,342415
"16043","Fremont (includes Yellowstone Park), ID",294569,380273,397729
"16045","Gem, ID",270447,315743,345638
"16047","Gooding, ID",888292,957443,1161985
"16049","Idaho, ID",433670,464053,482211
"16051","Jefferson, ID",535480,546689,579720
"16053","Jerome, ID",965093,1096394,1193453
